,Player,Season,id,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,key,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,James Harden,2020,hardeja01,30,HOU,SG,68,68,36.5,9.9,22.3,.444,4.4,12.4,.355,5.5,9.9,.556,.543,10.2,11.8,.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,James Harden_2020,29.1,.626,.557,.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,9.9,3.2,13.1,.254,8.1,1.6,9.6,7.3
1,Bradley Beal,2020,bealbr01,26,WAS,SG,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,Bradley Beal_2020,23.2,.579,.369,.351,2.7,10.5,6.4,29.5,1.6,1.0,11.4,34.4,4.5,0.6,5.1,.118,5.3,-2.4,2.9,2.5
2,Damian Lillard,2020,lillada01,29,POR,PG,66,66,37.5,9.5,20.4,.463,4.1,10.2,.401,5.4,10.2,.524,.563,7.0,7.8,.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,Damian Lillard_2020,26.9,.627,.500,.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,10.9,0.7,11.6,.225,8.3,-0.9,7.5,5.9
3,Trae Young,2020,youngtr01,21,ATL,PG,60,60,35.3,9.1,20.8,.437,3.4,9.5,.361,5.7,11.4,.501,.519,8.0,9.3,.860,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,Trae Young_2020,23.9,.595,.455,.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.3,0.6,5.9,.133,6.2,-2.3,3.9,3.1
4,Giannis Antetokounmpo,2020,antetgi01,25,MIL,PF,63,63,30.4,10.9,19.7,.553,1.4,4.7,.304,9.5,15.0,.631,.589,6.3,10.0,.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,Giannis Antetokounmpo_2020,31.9,.613,.237,.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,.279,7.4,4.1,11.5,6.6
5,Luka DonÄiÄ,2020,doncilu01,20,DAL,PG,61,61,33.6,9.5,20.6,.463,2.8,8.9,.316,6.7,11.7,.574,.531,7.0,9.2,.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.8,Luka DonÄiÄ_2020,27.6,.585,.431,.448,4.1,25.0,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,.207,7.4,1.0,8.4,5.4
6,Kyrie Irving,2020,irvinky01,27,BRK,PG,20,20,32.9,10.0,20.8,.478,2.8,7.1,.394,7.2,13.7,.522,.546,4.7,5.1,.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,Kyrie Irving_2020,26.2,.595,.341,.245,3.5,12.5,8.1,36.7,1.9,1.3,10.1,32.6,2.1,0.8,2.9,.210,6.7,0.9,7.7,1.6
7,Russell Westbrook,2020,westbru01,31,HOU,PG,57,57,35.9,10.6,22.5,.472,1.0,3.7,.258,9.6,18.7,.514,.493,5.1,6.7,.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2,Russell Westbrook_2020,21.0,.536,.166,.297,5.1,18.1,11.5,35.6,2.1,0.8,15.0,34.4,1.7,2.5,4.2,.098,1.6,-0.1,1.5,1.8
8,Kawhi Leonard,2020,leonaka01,28,LAC,SF,57,57,32.4,9.3,19.9,.470,2.2,5.7,.378,7.2,14.2,.506,.524,6.2,7.1,.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,Kawhi Leonard_2020,26.9,.589,.287,.355,3.1,19.1,11.3,26.4,2.6,1.6,10.2,33.0,5.4,3.3,8.7,.226,6.5,2.4,8.9,5.1
9,Devin Booker,2020,bookede01,23,PHO,SG,70,70,35.9,9.0,18.3,.489,2.0,5.7,.354,6.9,12.6,.549,.544,6.7,7.3,.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0,26.6,Devin Booker_2020,20.6,.618,.310,.397,1.3,12.0,6.6,30.0,0.9,0.6,14.9,30.0,6.0,1.5,7.5,.143,3.4,-1.3,2.2,2.6
10,Karl-Anthony Towns,2020,townska01,24,MIN,C,35,35,33.9,9.0,17.8,.508,3.3,7.9,.412,5.8,9.9,.586,.600,5.1,6.5,.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5,Karl-Anthony Towns_2020,26.5,.642,.445,.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,3.7,1.3,5.1,.204,7.0,0.8,7.8,2.9
11,Anthony Davis,2020,davisan02,26,LAL,PF,62,62,34.4,8.9,17.7,.503,1.2,3.5,.330,7.7,14.2,.546,.536,7.2,8.5,.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,Anthony Davis_2020,27.4,.610,.199,.479,7.4,22.1,14.8,15.1,2.0,6.0,10.4,29.3,6.7,4.4,11.1,.250,5.4,2.6,8.0,5.4
12,Zach LaVine,2020,lavinza01,24,CHI,SF,60,60,34.8,9.0,20.0,.450,3.1,8.1,.380,5.9,11.9,.497,.526,4.5,5.6,.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,Zach LaVine_2020,19.4,.568,.404,.279,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,1.8,2.2,4.0,.091,3.3,-0.8,2.5,2.4
13,LeBron James,2020,jamesle01,35,LAL,PG,67,67,34.6,9.6,19.4,.493,2.2,6.3,.348,7.4,13.1,.564,.550,3.9,5.7,.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,LeBron James_2020,25.5,.577,.326,.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,.204,6.6,1.8,8.4,6.1
14,Donovan Mitchell,2020,mitchdo01,23,UTA,SG,69,69,34.3,8.7,19.4,.449,2.5,6.9,.366,6.2,12.6,.494,.513,4.0,4.7,.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0,Donovan Mitchell_2020,18.8,.558,.352,.240,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,3.2,2.2,5.4,.110,2.4,-0.6,1.9,2.3
15,Brandon Ingram,2020,ingrabr01,22,NOP,PF,62,62,33.9,8.2,17.7,.463,2.4,6.2,.391,5.8,11.5,.501,.531,5.0,5.9,.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8,Brandon Ingram_2020,18.8,.587,.350,.336,2.6,16.6,9.6,19.3,1.3,1.5,13.1,28.1,3.3,1.8,5.1,.115,2.5,-0.4,2.1,2.2
16,Jayson Tatum,2020,tatumja01,21,BOS,PF,66,66,34.3,8.4,18.6,.450,2.9,7.1,.403,5.5,11.5,.480,.527,3.8,4.7,.812,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,23.4,Jayson Tatum_2020,20.4,.567,.383,.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,.146,3.5,0.6,4.0,3.4
17,D'Angelo Russell,2020,russeda01,23,2TM,PG,45,45,32.3,8.0,18.8,.426,3.5,9.6,.367,4.5,9.2,.487,.519,3.6,4.4,.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,D'Angelo Russell_2020,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,.060,3.8,-1.9,1.9,1.4
18,D'Angelo Russell,2020,russeda01,23,2TM,PG,45,45,32.3,8.0,18.8,.426,3.5,9.6,.367,4.5,9.2,.487,.519,3.6,4.4,.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,D'Angelo Russell_2020,19.1,.558,.506,.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,.058,4.5,-1.9,2.6,1.2
19,D'Angelo Russell,2020,russeda01,23,2TM,PG,45,45,32.3,8.0,18.8,.426,3.5,9.6,.367,4.5,9.2,.487,.519,3.6,4.4,.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,D'Angelo Russell_2020,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,.064,1.8,-1.7,0.1,0.2
20,D'Angelo Russell,2020,russeda01,23,GSW,PG,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6,D'Angelo Russell_2020,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,.060,3.8,-1.9,1.9,1.4
21,D'Angelo Russell,2020,russeda01,23,GSW,PG,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6,D'Angelo Russell_2020,19.1,.558,.506,.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,.058,4.5,-1.9,2.6,1.2
22,D'Angelo Russell,2020,russeda01,23,GSW,PG,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6,D'Angelo Russell_2020,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,.064,1.8,-1.7,0.1,0.2
23,D'Angelo Russell,2020,russeda01,23,MIN,PG,12,12,32.7,7.3,17.6,.412,3.2,9.2,.345,4.1,8.4,.485,.502,4.0,4.6,.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7,D'Angelo Russell_2020,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,.060,3.8,-1.9,1.9,1.4
24,D'Angelo Russell,2020,russeda01,23,MIN,PG,12,12,32.7,7.3,17.6,.412,3.2,9.2,.345,4.1,8.4,.485,.502,4.0,4.6,.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7,D'Angelo Russell_2020,19.1,.558,.506,.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,.058,4.5,-1.9,2.6,1.2
25,D'Angelo Russell,2020,russeda01,23,MIN,PG,12,12,32.7,7.3,17.6,.412,3.2,9.2,.345,4.1,8.4,.485,.502,4.0,4.6,.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7,D'Angelo Russell_2020,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,.064,1.8,-1.7,0.1,0.2
26,Joel Embiid,2020,embiijo01,25,PHI,C,51,51,29.5,7.5,15.7,.477,1.1,3.4,.331,6.4,12.3,.517,.512,6.9,8.5,.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,Joel Embiid_2020,25.8,.590,.215,.543,10.3,33.2,21.7,16.9,1.4,3.7,13.8,32.9,3.3,2.7,6.0,.192,3.7,1.0,4.7,2.5
27,Pascal Siakam,2020,siakapa01,25,TOR,PF,60,60,35.2,8.3,18.4,.453,2.2,6.1,.359,6.2,12.3,.499,.512,4.0,5.1,.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,22.9,Pascal Siakam_2020,17.9,.554,.331,.274,3.3,18.3,11.0,16.4,1.4,2.5,10.7,28.1,1.8,3.6,5.4,.123,1.3,0.5,1.8,2.0
28,Zion Williamson,2020,willizi01,19,NOP,PF,24,24,27.8,8.8,15.0,.583,0.3,0.6,.429,8.5,14.4,.590,.592,4.8,7.4,.640,2.7,3.6,6.3,2.1,0.7,0.4,2.5,1.8,22.5,Zion Williamson_2020,24.1,.616,.039,.494,10.1,13.7,11.9,13.3,1.1,1.1,11.9,30.5,1.5,0.4,2.0,.141,3.5,-1.4,2.1,0.7
29,CJ McCollum,2020,mccolcj01,28,POR,SG,70,70,36.5,8.7,19.4,.451,2.8,7.3,.379,6.0,12.1,.494,.522,2.0,2.6,.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2,CJ McCollum_2020,17.0,.541,.378,.136,1.9,10.2,6.1,19.1,1.0,1.4,8.1,25.9,3.5,0.6,4.1,.077,2.3,-1.8,0.5,1.6
30,DeMar DeRozan,2020,derozde01,30,SAS,SF,68,68,34.1,8.2,15.4,.531,0.1,0.5,.257,8.1,14.9,.540,.535,5.6,6.6,.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1,DeMar DeRozan_2020,21.6,.603,.033,.430,2.0,15.4,8.7,26.1,1.4,0.8,11.6,26.3,5.9,1.3,7.3,.151,2.3,-0.4,1.9,2.3
31,Andrew Wiggins,2020,wiggian01,24,2TM,SF,54,54,34.4,8.1,18.1,.447,2.1,6.2,.332,6.0,11.9,.506,.504,3.5,5.0,.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8,Andrew Wiggins_2020,16.4,.536,.342,.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,.050,1.1,-1.4,-0.3,0.8
32,Andrew Wiggins,2020,wiggian01,24,2TM,SF,54,54,34.4,8.1,18.1,.447,2.1,6.2,.332,6.0,11.9,.506,.504,3.5,5.0,.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8,Andrew Wiggins_2020,16.1,.535,.348,.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,.046,1.1,-1.5,-0.4,0.6
33,Andrew Wiggins,2020,wiggian01,24,2TM,SF,54,54,34.4,8.1,18.1,.447,2.1,6.2,.332,6.0,11.9,.506,.504,3.5,5.0,.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8,Andrew Wiggins_2020,17.5,.542,.314,.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,.064,1.0,-1.1,-0.1,0.2
34,Andrew Wiggins,2020,wiggian01,24,MIN,SF,42,42,34.6,8.4,18.8,.444,2.2,6.5,.331,6.2,12.3,.505,.502,3.5,4.9,.720,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4,Andrew Wiggins_2020,16.4,.536,.342,.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,.050,1.1,-1.4,-0.3,0.8
35,Andrew Wiggins,2020,wiggian01,24,MIN,SF,42,42,34.6,8.4,18.8,.444,2.2,6.5,.331,6.2,12.3,.505,.502,3.5,4.9,.720,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4,Andrew Wiggins_2020,16.1,.535,.348,.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,.046,1.1,-1.5,-0.4,0.6
36,Andrew Wiggins,2020,wiggian01,24,MIN,SF,42,42,34.6,8.4,18.8,.444,2.2,6.5,.331,6.2,12.3,.505,.502,3.5,4.9,.720,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4,Andrew Wiggins_2020,17.5,.542,.314,.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,.064,1.0,-1.1,-0.1,0.2
37,Andrew Wiggins,2020,wiggian01,24,GSW,SF,12,12,33.6,7.2,15.7,.457,1.7,4.9,.339,5.5,10.8,.512,.511,3.4,5.1,.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4,Andrew Wiggins_2020,16.4,.536,.342,.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,.050,1.1,-1.4,-0.3,0.8
38,Andrew Wiggins,2020,wiggian01,24,GSW,SF,12,12,33.6,7.2,15.7,.457,1.7,4.9,.339,5.5,10.8,.512,.511,3.4,5.1,.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4,Andrew Wiggins_2020,16.1,.535,.348,.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,.046,1.1,-1.5,-0.4,0.6
39,Andrew Wiggins,2020,wiggian01,24,GSW,SF,12,12,33.6,7.2,15.7,.457,1.7,4.9,.339,5.5,10.8,.512,.511,3.4,5.1,.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4,Andrew Wiggins_2020,17.5,.542,.314,.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,.064,1.0,-1.1,-0.1,0.2
40,John Collins,2020,collijo01,22,ATL,PF,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,John Collins_2020,23.5,.659,.243,.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,3.8,1.2,4.9,.174,3.7,-0.6,3.1,1.7
41,Paul George,2020,georgpa01,29,LAC,SF,48,48,29.6,7.1,16.3,.439,3.3,7.9,.412,3.9,8.4,.464,.539,4.0,4.5,.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,Paul George_2020,21.1,.589,.487,.277,1.8,17.7,10.0,21.1,2.3,1.2,12.5,29.6,2.5,2.3,4.8,.161,3.8,1.1,4.9,2.5
42,De'Aaron Fox,2020,foxde01,22,SAC,PG,51,49,32.0,7.7,16.0,.480,1.1,3.6,.292,6.6,12.4,.535,.513,4.7,6.7,.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1,De'Aaron Fox_2020,20.6,.558,.227,.420,2.4,11.4,6.8,35.3,2.2,1.5,14.1,29.8,2.6,1.4,4.0,.118,2.3,-0.5,1.8,1.6
43,Khris Middleton,2020,middlkh01,28,MIL,SF,62,59,29.9,7.6,15.3,.497,2.4,5.7,.415,5.2,9.6,.546,.575,3.4,3.7,.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,Khris Middleton_2020,21.1,.619,.374,.240,2.5,17.0,10.2,22.2,1.3,0.3,11.6,26.4,4.6,3.3,7.9,.205,3.4,0.7,4.1,2.9
44,Stephen Curry,2020,curryst01,31,GSW,PG,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,Stephen Curry_2020,21.7,.557,.598,.317,3.0,17.8,10.1,42.3,1.7,1.3,14.6,33.6,0.2,0.1,0.3,.103,4.5,-0.6,3.9,0.2
45,Collin Sexton,2020,sextoco01,21,CLE,PG,65,65,33.0,7.9,16.7,.472,1.5,3.9,.380,6.4,12.8,.501,.517,3.5,4.1,.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,Collin Sexton_2020,16.3,.560,.235,.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,.057,0.3,-2.1,-1.8,0.1
46,Spencer Dinwiddie,2020,dinwisp01,26,BRK,PG,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6,Spencer Dinwiddie_2020,17.8,.541,.392,.437,1.7,9.6,5.7,35.0,0.9,0.9,12.5,29.2,3.2,1.6,4.8,.116,2.7,-0.9,1.8,1.9
47,Kristaps PorziÅÄ£is,2020,porzikr01,24,DAL,C,57,57,31.8,7.0,16.4,.427,2.5,7.1,.352,4.5,9.3,.484,.503,4.0,5.0,.799,1.8,7.7,9.5,1.8,0.7,2.0,1.6,3.2,20.4,Kristaps PorziÅÄ£is_2020,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,2.6,2.6,5.2,.138,1.8,0.1,1.9,1.8
48,Kemba Walker,2020,walkeke02,29,BOS,PG,56,56,31.1,6.8,15.9,.425,3.2,8.4,.381,3.5,7.4,.476,.526,3.7,4.3,.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,Kemba Walker_2020,20.0,.575,.532,.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,.162,4.9,-0.3,4.6,2.9
